model,log_path,ckpt_path,epochs,best_bleu,best_epoch,final_bleu,epoch_to_90pct_best,params,training_time
rnn_gru_additive_tf0.50_greedy,rnn_gru_additive_tf0.50_greedy_history.log,ckpt\rnn_gru_additive_tf0.50_greedy_best.pt,13,9.25,8,8.64,1,26707212,unknown
rnn_gru_dot_product_tf0.00_greedy,rnn_gru_dot_product_tf0.00_greedy_history.log,ckpt\rnn_gru_dot_product_tf0.00_greedy_best.pt,12,8.35,3,7.14,2,26182412,unknown
rnn_gru_dot_product_tf0.50_greedy,rnn_gru_dot_product_tf0.50_greedy_history.log,ckpt\rnn_gru_dot_product_tf0.50_greedy_best.pt,13,9.23,2,8.0,1,26182412,unknown
rnn_gru_multiplicative_tf0.50_greedy,rnn_gru_multiplicative_tf0.50_greedy_history.log,ckpt\rnn_gru_multiplicative_tf0.50_greedy_best.pt,12,10.29,2,7.92,1,26444556,unknown
rnn_lstm_additive_tf0.50_greedy,rnn_lstm_additive_tf0.50_greedy_history.log,ckpt\rnn_lstm_additive_tf0.50_greedy_best.pt,17,10.46,1,9.69,1,28853516,unknown
rnn_lstm_dot_product_tf0.50_greedy,rnn_lstm_dot_product_tf0.50_greedy_history.log,ckpt\rnn_lstm_dot_product_tf0.50_greedy_best.pt,23,10.47,4,9.39,1,28328716,unknown
transformer_absolute_layernorm_d512_h8_e33_ff2048_bs64_lr0.0005,transformer_absolute_layernorm_d512_h8_e33_ff2048_bs64_lr0.0005_history.log,ckpt\transformer_absolute_layernorm_d512_h8_e33_ff2048_bs64_lr0.0005_best.pt,21,18.4,11,17.03,5,40552976,unknown
transformer_absolute_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0005,transformer_absolute_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0005_history.log,ckpt\transformer_absolute_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0005_best.pt,23,19.0,18,17.67,6,40545296,unknown
transformer_relative_layernorm_d512_h8_e33_ff2048_bs64_lr0.0005,transformer_relative_layernorm_d512_h8_e33_ff2048_bs64_lr0.0005_history.log,ckpt\transformer_relative_layernorm_d512_h8_e33_ff2048_bs64_lr0.0005_best.pt,19,18.71,14,18.33,9,40555032,unknown
transformer_relative_rmsnorm_d256_h4_e22_ff1024_bs64_lr0.0005,transformer_relative_rmsnorm_d256_h4_e22_ff1024_bs64_lr0.0005_history.log,ckpt\transformer_relative_rmsnorm_d256_h4_e22_ff1024_bs64_lr0.0005_best.pt,30,19.47,27,19.42,15,12932884,unknown
transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs32_lr0.0005,transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs32_lr0.0005_history.log,ckpt\transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs32_lr0.0005_best.pt,17,18.45,12,16.9,6,40547352,unknown
transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0001,transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0001_history.log,ckpt\transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0001_best.pt,30,10.69,29,10.57,25,40547352,unknown
transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0005,transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0005_history.log,ckpt\transformer_relative_rmsnorm_d512_h8_e33_ff2048_bs64_lr0.0005_best.pt,26,18.46,21,17.7,10,40547352,unknown
